DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
PCD25/1659,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735353&propkey=81103, Detached Shed,,Approved on 07/10/2025,Private Certifier Complying Development App,"140C Bryces Rd, FAR MEADOW",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1659 A Certifiers - CR-2025-90562 - 140C Bryces Ro...,Not required
PCD25/1660,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735409&propkey=34033, Demolition,,Approved on 09/10/2025,Private Certifier Complying Development App,"133 McMahons Rd, NORTH NOWRA",Home Building Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1660 Home Building Certifiers Pty Ltd - CR-2025-90...,Not required
PCD25/1661,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735447&propkey=84654, Dwelling Alterations & Additions,,Approved on 09/10/2025,Private Certifier Complying Development App,"8 Alexandra St, BERRY",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1661 MODIFIED - AIS Certifiers Pty Ltd - CR-2025-9...,Not required
PCD25/1662,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735503&propkey=3274, Dwelling Alterations & Additions,,Approved on 09/10/2025,Private Certifier Complying Development App,"96 Greenbank Gr, CULBURRA BEACH",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1662 AIS Certifiers Pty Ltd - CR-2025-91065 - 96 G...,Not required
PCD25/1663,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735510&propkey=87537, Swimming Pool,,Approved on 09/10/2025,Private Certifier Complying Development App,"171 Rayleigh Dr, WORRIGEE",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1663 Bacchus Partners Pty Ltd - CR-2025-91102 - 17...,Not required
PCD25/1664,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735544&propkey=31619, Three Lot Subdivision,,Approved on 09/10/2025,Private Certifier Complying Development App,"64 Currambene St, HUSKISSON",Brear Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1664 Brear Pty Ltd - CR-2025-91236 - 64 Currambene...,Not required
PCD25/1665,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735620&propkey=119167, Swimming Pool & Spa,,Approved on 09/10/2025,Private Certifier Complying Development App,"26A Streamside St, WOOLLAMIA",Central Certification Services Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1665 Central Certification Services Pty Ltd - CR-2...,Not required
PCD25/1666,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735625&propkey=116292, Commercial Alterations & Additions,,Approved on 10/10/2025,Private Certifier Complying Development App,"193 Princes Hwy, SOUTH NOWRA",McKenzie Group Consulting (NSW) Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1666 McKenzie Group Consulting (NSW) Pty Ltd - CR-...,Not required
PCD25/1667,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735646&propkey=20994, Dwelling Alterations & Additions,,Approved on 13/10/2025,Private Certifier Complying Development App,"53 Burrill St, HUSKISSON",New Home Certification Group Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1667 New Home Certification Group Pty Ltd - CR-202...,Not required
PCD25/1668,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735669&propkey=15523, Dwelling Alterations & Additions. Detached Shed,,Approved on 13/10/2025,Private Certifier Complying Development App,"7 Carnelian Cl, ULLADULLA",New Home Certification Group Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1668 New Home Certification Group Pty Ltd - CR-202...,Not required
PCD25/1669,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735672&propkey=40651, Swimming Pool,,Approved on 13/10/2025,Private Certifier Complying Development App,"4 Nunkeri Pl, NORTH NOWRA",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1669 AIS Certifiers Pty Ltd - CR-2025-91902 - 4 Nu...,Not required
PCD25/1670,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735687&propkey=91809, Shed,,Approved on 13/10/2025,Private Certifier Complying Development App,"374 Hames Rd, YERRIYONG",New Home Certification Group Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1670 New Home Certification Group Pty Ltd - CR-202...,Not required
PCD25/1671,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735749&propkey=1005158, Single Storey Dwelling,,Approved on 13/10/2025,Private Certifier Complying Development App,"25 Spica St, BADAGARANG",Accredited Building Certifiers NSW Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1671 Accredited Building Certifiers (NSW) Pty Ltd ...,Not required
PCD25/1672,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735798&propkey=27832, Single Storey Secondary Dwelling,,Approved on 14/10/2025,Private Certifier Complying Development App,"74 Lennox Rd, CALLALA BEACH",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1672 MODIFIED - AIS Certifiers Pty Ltd - CR-2025-9...,Not required
PCD25/1673,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735880&propkey=81866, Dwelling Alterations & Additions,,Approved on 15/10/2025,Private Certifier Complying Development App,"28 Lomandra Pl, ULLADULLA",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1673 Bacchus Partners Pty Ltd - CR-2025-92950 - 28...,Not required
PCD25/1674,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735886&propkey=3173, Swimming Pool,,Approved on 15/10/2025,Private Certifier Complying Development App,"21 Fairlight Way, CULBURRA BEACH",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1674 AIS Certifiers Pty Ltd - CR-2025-93017 - 21 F...,Not required
PCD25/1675,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735909&propkey=116292, Commercial Alterations & Additions,,Approved on 15/10/2025,Private Certifier Complying Development App,"193 Princes Hwy, SOUTH NOWRA",McKenzie Group Consulting (NSW) Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1675 McKenzie Group Consulting (NSW) Pty Ltd - CR-...,Not required
PCD25/1676,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735933&propkey=10046, Demolition,,Approved on 15/10/2025,Private Certifier Complying Development App,"120 The Park Dr, SANCTUARY POINT",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1676 AIS Certifiers Pty Ltd - CR-2025-93193 - 120 ...,Not required
PCD25/1677,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735963&propkey=45538, Dwelling Alterations & Additions,,Approved on 15/10/2025,Private Certifier Complying Development App,"226 Tindalls Lane, BROUGHTON",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1677 Bacchus Partners Pty Ltd - CR-2025-93395 - 22...,Not required
PCD25/1678,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735967&propkey=119887, Swimming Pool,,Approved on 15/10/2025,Private Certifier Complying Development App,"10 Parker Cr, BERRY",S & L Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1678 H Mills - CR-2025-93418 - 10 Parker Crescent ...,Not required
PCD25/1679,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735987&propkey=4178, Two Storey Dwelling,,Approved on 15/10/2025,Private Certifier Complying Development App,"99 Penguins Head Rd, CULBURRA BEACH",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1679 A Certifiers - CR-2025-93528 - 99 Penguins He...,Not required
PCD25/1680,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736013&propkey=3274, Alterations and Additions to Existing Dwelling,,Declined on 16/10/2025,Private Certifier Complying Development App,"96 Greenbank Gr, CULBURRA BEACH",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,No documents are currently available.,Not required
PCD25/1681,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736045&propkey=118644, Swimming Pool,,Approved on 16/10/2025,Private Certifier Complying Development App,"16 Womack Cl, BERRY",Premium Building Certifiers,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1681 Premium Building Certifiers - CR-2025-93711 -...,Not required
PCD25/1682,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736079&propkey=1003908, Single Storey Dual Occupancy Attached,,Approved on 20/10/2025,Private Certifier Complying Development App,"67 Patrina Cct, ST GEORGES BASIN",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1682 Bacchus Partners Pty Ltd - CR-2025-93799 - 67...,Not required
PCD25/1683,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736118&propkey=1003523, Dwelling Alterations & Additions.,,Approved on 20/10/2025,Private Certifier Complying Development App,"8 Hilder Cl, MILTON",AMG Building Consultants,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1683 AMG Building Consultants - CR-2025-93924 - 8 ...,Not required
PCD25/1684,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736139&propkey=1003912, Two Lot Torrens Title Subdivision,,Approved on 20/10/2025,Private Certifier Complying Development App,"59 Patrina Cct, ST GEORGES BASIN",Barker Ryan Stewart Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1684 Barker Ryan Stewart Pty Ltd - CR-2025-93975 -...,Not required
PCD25/1685,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736143&propkey=1003892, Two Lot Subdivision,,Approved on 20/10/2025,Private Certifier Complying Development App,"34 Patrina Cct, ST GEORGES BASIN",Barker Ryan Stewart Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1685 Barker Ryan Stewart Pty Ltd - CR-2025-94001 -...,Not required
PCD25/1686,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736200&propkey=1005732, Single Storey Dwelling,,Approved on 20/10/2025,Private Certifier Complying Development App,"21 Sandhurst Cr, MOLLYMOOK BEACH",Buildcert NSW Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1686 Buildcert NSW Pty Ltd - CR-2025-94246 - 21 Sa...,Not required
PCD25/1687,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736268&propkey=1005507, Single Storey Dual Occupancy Attached,,Approved on 20/10/2025,Private Certifier Complying Development App,"27 Deering St, ULLADULLA",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1687 AIS Certifiers Pty Ltd - CR-2025-94609 - 27 D...,Not required
PCD25/1688,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736272&propkey=80091, Single Storey Dwelling,,Approved on 20/10/2025,Private Certifier Complying Development App,"40 Browns Mountain Rd, TAPITALLEE",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1688 AIS Certifiers Pty Ltd - CR-2025-94628 - 40 B...,Not required
PCD25/1689,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736312&propkey=48433, Swimming Pool,,Approved on 20/10/2025,Private Certifier Complying Development App,"4 Westhaven Av, NOWRA",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1689 AIS Certifiers Pty Ltd - CR-2025-94869 - 4 We...,Not required
PCD25/1690,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736313&propkey=28030, Demolition,,Approved on 20/10/2025,Private Certifier Complying Development App,"92 Murray St, CALLALA BAY",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1690 AIS Certifiers Pty Ltd - CR-2025-94870 - 92 M...,Not required
PCD25/1691,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736314&propkey=7054, Dwelling Alterations & Additions. Swimming Pool,,Approved on 20/10/2025,Private Certifier Complying Development App,"272 The Wool Rd, ST GEORGES BASIN",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1691 AIS Certifiers Pty Ltd - CR-2025-94872 - 272 ...,Not required
PCD25/1692,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736315&propkey=1005507, New Construction of Dual Occupancy,,Declined on 20/10/2025,Private Certifier Complying Development App,"27 Deering St, ULLADULLA",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,No documents are currently available.,Not required
PCD25/1693,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736317&propkey=80091, New Construction of Dwelling and Shed,,Declined on 20/10/2025,Private Certifier Complying Development App,"40 Browns Mountain Rd, TAPITALLEE",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,No documents are currently available.,Not required
PCD25/1694,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736339&propkey=1005811, Torrens Title Subdivision,,Approved on 21/10/2025,Private Certifier Complying Development App,"16 Allerton Av, CULBURRA BEACH",CEH Consulting Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1694 CEH Consulting Pty Ltd - CR-2025-94972 - 16 A...,Not required
PCD25/1695,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736342&propkey=1006152, Commercial Alterations & Additions,,Approved on 21/10/2025,Private Certifier Complying Development App,"39A Cambewarra Rd, BOMADERRY",Blackett Maguire & Goldsmith Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1695 Blackett Maguire & Goldsmith Pty Ltd - CR-202...,Not required
PCD25/1696,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736346&propkey=1005810, Torrens Title Subdivision,,Approved on 21/10/2025,Private Certifier Complying Development App,"156 Marina Lane, CULBURRA BEACH",CEH Consulting Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1696 CEH Consulting Pty Ltd - CR-2025-94998 - 156 ...,Not required
PCD25/1697,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736433&propkey=88997, Dwelling Alterations & Additions,,Approved on 27/10/2025,Private Certifier Complying Development App,"156B Mackays Rd, UPPER KANGAROO RIVER",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1697 MODIFIED - Bacchus Partners Pty Ltd - CR-2025...,Not required
PCD25/1698,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736451&propkey=3335, Two Storey Dwelling & Swimming Pool,,Approved on 24/10/2025,Private Certifier Complying Development App,"8 Haven St, CULBURRA BEACH",Sanders & Co Building Certification,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1698 Sanders & Co Building Certification - CR-2025...,Not required
PCD25/1699,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736550&propkey=1002256, Single Storey Dual Occupancy Attached,,Approved on 27/10/2025,Private Certifier Complying Development App,"40 Birkdale Cct, SUSSEX INLET",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1699 Bacchus Partners Pty Ltd - CR-2025-95882 - 40...,Not required
PCD25/1700,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736596&propkey=73072, Commercial Alterations & Additions,,Approved on 27/10/2025,Private Certifier Complying Development App,"17 Boree St, ULLADULLA",Building Certification Associates Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1700 Building Certification Associates Pty Ltd - C...,Not required
PCD25/1701,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736690&propkey=19854, Dwelling Alterations & Additions,,Approved on 27/10/2025,Private Certifier Complying Development App,"40 Church St, MILTON",AMG Building Consultants,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1701 AMG Building Consultants - CR-2025-96525 - 40...,Not required
PCD25/1702,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736692&propkey=121592, Swim Spa,,Approved on 27/10/2025,Private Certifier Complying Development App,"6A Coral Sea Dr, WEST NOWRA",AIS Certifiers Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1702 AIS Certifiers Pty Ltd - CR-2025-96530 - 6A C...,Not required
PCD25/1703,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736739&propkey=1005254, Single Storey Dwelling,,Approved on 27/10/2025,Private Certifier Complying Development App,"Wirraway Bvd, BADAGARANG",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1703 MODIFIED - Bacchus Partners Pty Ltd - CR-2025...,Not required
PCD25/1704,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736807&propkey=1001812, Commercial Alterations & Additions,,Approved on 27/10/2025,Private Certifier Complying Development App,"164C Princes Hwy, SOUTH NOWRA
5/164C Princes Hwy, SOUTH NOWRA",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1704 Bacchus Partners Pty Ltd - CR-2025-97078 - 5/...,Not required
PCD25/1705,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736825&propkey=1005535, Single Storey Dwelling,,Approved on 27/10/2025,Private Certifier Complying Development App,"7 Sabre St, BADAGARANG",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1705 Bacchus Partners Pty Ltd - CR-2025-97174 - 7 ...,Not required
PCD25/1706,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736834&propkey=120693, Swimming Pool,,Approved on 27/10/2025,Private Certifier Complying Development App,"B640 Princes Hwy, JASPERS BRUSH",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1706 Bacchus Partners Pty Ltd - CR-2025-97220 - 64...,Not required
PCD25/1707,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736841&propkey=1003862, Single Storey Dual Occupancy Attached,,Approved on 27/10/2025,Private Certifier Complying Development App,"3 Patrina Cct, ST GEORGES BASIN",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1707 Bacchus Partners Pty Ltd - CR-2025-97248 - 3 ...,Not required
PCD25/1708,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736863&propkey=117365, Commercial Alterations & Additions,,Approved on 28/10/2025,Private Certifier Complying Development App,"8 Moona Creek Rd, VINCENTIA",The Trustee for The BSG Unit Trust,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1708 The Trustee for The BSG Unit Trust - CR-2025-...,Not required
PCD25/1709,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736907&propkey=79444, Residential - Dual Occupancy - detached single storey,,Declined on 28/10/2025,Private Certifier Complying Development App,"45 Little Forest Rd, LITTLE FOREST",Building Certification Associates Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,No documents are currently available.,Not required
PCD25/1710,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736929&propkey=19034, Dwelling Alterations & Additions,,Approved on 28/10/2025,Private Certifier Complying Development App,"2 The Court, MOLLYMOOK BEACH",AMG Building Consultants,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1710 AMG Building Consultants - CR-2025-97725 - 2 ...,Not required
